annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
2045.7627118644068,1.1242100350620865,4747.390292697813,-5157.479128594303,-64636.56683246544,15.0
2071.186440677966,1.1242100350620865,4811.99969061417,-5157.479128594303,-64636.56683246544,15.0
2096.610169491525,1.1242100350620865,4876.6090885305275,-5157.479128594303,-64636.56683246544,15.0
2122.0338983050847,1.1242100350620865,4941.218486446886,-5157.479128594303,-64636.56683246544,15.0
2147.4576271186443,1.1242100350620865,5005.827884363245,-5157.479128594303,-64636.56683246544,15.0
2172.8813559322034,1.1242100350620865,5070.437282279602,-5157.479128594303,-64636.56683246544,15.0
2198.3050847457625,1.1242100350620865,5135.04668019596,-5157.479128594303,-64636.56683246544,15.0
2223.728813559322,1.1242100350620865,5199.656078112319,-5157.479128594303,-64636.56683246544,15.0
2249.1525423728813,1.1242100350620865,5264.265476028676,-5157.479128594303,-64636.56683246544,15.0
2274.576271186441,1.1242100350620865,5328.874873945035,-5157.479128594303,-64636.56683246544,15.0
2300.0,1.1242100350620865,5393.484271861393,-5157.479128594303,-64636.56683246544,15.0
800.0,1.263848202934298,1579.8513951494606,-5137.399265905991,-64616.48696977714,15.0
825.4237288135594,1.263848202934298,1644.460793065819,-5137.399265905991,-64616.48696977714,15.0
850.8474576271186,1.263848202934298,1709.0701909821769,-5137.399265905991,-64616.48696977714,15.0
876.271186440678,1.263848202934298,1773.6795888985348,-5137.399265905991,-64616.48696977714,15.0
901.6949152542372,1.263848202934298,1838.2889868148927,-5137.399265905991,-64616.48696977714,15.0
927.1186440677966,1.263848202934298,1902.898384731251,-5137.399265905991,-64616.48696977714,15.0
952.542372881356,1.263848202934298,1967.507782647609,-5137.399265905991,-64616.48696977714,15.0
977.9661016949153,1.263848202934298,2032.1171805639674,-5137.399265905991,-64616.48696977714,15.0
1003.3898305084746,1.263848202934298,2096.7265784803253,-5137.399265905991,-64616.48696977714,15.0
1028.8135593220338,1.263848202934298,2161.335976396683,-5137.399265905991,-64616.48696977714,15.0
1054.2372881355932,1.263848202934298,2225.945374313041,-5137.399265905991,-64616.48696977714,15.0
1079.6610169491526,1.263848202934298,2290.5547722293995,-5137.399265905991,-64616.48696977714,15.0
1105.084745762712,1.263848202934298,2355.1641701457575,-5137.399265905991,-64616.48696977714,15.0
1130.508474576271,1.263848202934298,2419.773568062115,-5137.399265905991,-64616.48696977714,15.0
1155.9322033898306,1.263848202934298,2484.3829659784737,-5137.399265905991,-64616.48696977714,15.0
1181.3559322033898,1.263848202934298,2548.992363894831,-5137.399265905991,-64616.48696977714,15.0
1206.7796610169491,1.263848202934298,2613.6017618111896,-5137.399265905991,-64616.48696977714,15.0
