material,span_m,T_horiz_N,sag_m,mass_per_m_kg
steel_6x19_IWRC_8mm,100.0,4652.542372881356,0.671903139607028,0.255
steel_6x19_IWRC_8mm,100.0,5067.796610169491,0.6168416963517935,0.255
steel_6x19_IWRC_8mm,100.0,5483.050847457627,0.5701214954017068,0.255
steel_6x19_IWRC_8mm,100.0,5898.3050847457625,0.5299805115541606,0.255
steel_6x19_IWRC_8mm,100.0,6313.559322033898,0.4951203741899372,0.255
steel_6x19_IWRC_8mm,100.0,6728.813559322034,0.46456327039291084,0.255
steel_6x19_IWRC_8mm,100.0,7144.067796610169,0.4375587647636167,0.255
steel_6x19_IWRC_8mm,100.0,7559.322033898305,0.41352133705461047,0.255
steel_6x19_IWRC_8mm,100.0,7974.576271186441,0.3919874385145054,0.255
steel_6x19_IWRC_8mm,100.0,8389.830508474577,0.3725853031609798,0.255
steel_6x19_IWRC_8mm,100.0,8805.084745762711,0.3550133025761366,0.255
steel_6x19_IWRC_8mm,100.0,9220.338983050848,0.3390241504107874,0.255
steel_6x19_IWRC_8mm,100.0,9635.593220338982,0.32441319168114946,0.255
steel_6x19_IWRC_8mm,100.0,10050.847457627118,0.31100959535695943,0.255
steel_6x19_IWRC_8mm,100.0,10466.101694915254,0.29866964380872,0.255
steel_6x19_IWRC_8mm,100.0,10881.355932203389,0.2872715589249911,0.255
steel_6x19_IWRC_8mm,100.0,11296.610169491525,0.27671146944142755,0.255
steel_6x19_IWRC_8mm,100.0,11711.864406779661,0.2669002362304598,0.255
steel_6x19_IWRC_8mm,100.0,12127.118644067796,0.25776092987818283,0.255
steel_6x19_IWRC_8mm,100.0,12542.372881355932,0.24922680937401837,0.255
steel_6x19_IWRC_8mm,100.0,12957.627118644068,0.24123968948199373,0.255
steel_6x19_IWRC_8mm,100.0,13372.881355932202,0.23374861231256974,0.255
steel_6x19_IWRC_8mm,100.0,13788.135593220339,0.22670875895127549,0.255
steel_6x19_IWRC_8mm,100.0,14203.389830508475,0.22008055201275475,0.255
steel_6x19_IWRC_8mm,100.0,14618.64406779661,0.2138289111692984,0.255
steel_6x19_IWRC_8mm,100.0,15033.898305084746,0.20792263205249745,0.255
steel_6x19_IWRC_8mm,100.0,15449.152542372882,0.20233386533274864,0.255
steel_6x19_IWRC_8mm,100.0,15864.406779661016,0.19703767760638183,0.255
steel_6x19_IWRC_8mm,100.0,16279.661016949152,0.19201167949794687,0.255
steel_6x19_IWRC_8mm,100.0,16694.91525423729,0.1872357092584881,0.255
steel_6x19_IWRC_8mm,100.0,17110.169491525423,0.182691562440946,0.255
steel_6x19_IWRC_8mm,100.0,17525.42372881356,0.17836276001020737,0.255
steel_6x19_IWRC_8mm,100.0,17940.677966101695,0.17423434865993523,0.255
steel_6x19_IWRC_8mm,100.0,18355.93220338983,0.1702927282205176,0.255
steel_6x19_IWRC_8mm,100.0,18771.186440677964,0.1665255019980123,0.255
steel_6x19_IWRC_8mm,100.0,19186.4406779661,0.16292134652441967,0.255
steel_6x19_IWRC_8mm,100.0,19601.694915254237,0.15946989788343352,0.255
steel_6x19_IWRC_8mm,100.0,20016.949152542373,0.1561616521821328,0.255
steel_6x19_IWRC_8mm,100.0,20432.20338983051,0.15298787814082623,0.255
steel_6x19_IWRC_8mm,100.0,20847.457627118645,0.14994054016228506,0.255
steel_6x19_IWRC_8mm,100.0,21262.711864406778,0.1470122303842075,0.255
steel_6x19_IWRC_8mm,100.0,21677.966101694914,0.14419610856244883,0.255
steel_6x19_IWRC_8mm,100.0,22093.22033898305,0.1414858487250354,0.255
steel_6x19_IWRC_8mm,100.0,22508.474576271186,0.13887559172899097,0.255
steel_6x19_IWRC_8mm,100.0,22923.728813559323,0.13635990298748865,0.255
steel_6x19_IWRC_8mm,100.0,23338.98305084746,0.13393373468884096,0.255
steel_6x19_IWRC_8mm,100.0,23754.23728813559,0.13159239199340106,0.255
steel_6x19_IWRC_8mm,100.0,24169.491525423728,0.12933150271465702,0.255
steel_6x19_IWRC_8mm,100.0,24584.745762711864,0.12714699006936622,0.255
steel_6x19_IWRC_8mm,100.0,25000.0,0.1250350481352847,0.255
dyneema_sk78_8mm_12strand,50.0,500.0,0.28195314063065097,0.046
dyneema_sk78_8mm_12strand,50.0,915.2542372881355,0.15402537527748184,0.046
dyneema_sk78_8mm_12strand,50.0,1330.508474576271,0.10595305513543045,0.046
dyneema_sk78_8mm_12strand,50.0,1745.7627118644068,0.0807504267552755,0.046
dyneema_sk78_8mm_12strand,50.0,2161.016949152542,0.06523359927603897,0.046
dyneema_sk78_8mm_12strand,50.0,2576.271186440678,0.054718936269798284,0.046
dyneema_sk78_8mm_12strand,50.0,2991.5254237288136,0.04712337043418361,0.046
dyneema_sk78_8mm_12strand,50.0,3406.779661016949,0.04137946580321494,0.046
dyneema_sk78_8mm_12strand,50.0,3822.0338983050847,0.03688368543515314,0.046
dyneema_sk78_8mm_12strand,50.0,4237.28813559322,0.033269079763818314,0.046
dyneema_sk78_8mm_12strand,50.0,4652.542372881356,0.03029970529667821,0.046
dyneema_sk78_8mm_12strand,50.0,5067.796610169491,0.027816951382236776,0.046
dyneema_sk78_8mm_12strand,50.0,5483.050847457627,0.025710256456754836,0.046
dyneema_sk78_8mm_12strand,50.0,5898.3050847457625,0.023900194153406638,0.046
dyneema_sk78_8mm_12strand,50.0,6313.559322033898,0.022328234208473696,0.046
dyneema_sk78_8mm_12strand,50.0,6728.813559322034,0.020950294657035486,0.046
dyneema_sk78_8mm_12strand,50.0,7144.067796610169,0.019732542723108353,0.046
dyneema_sk78_8mm_12strand,50.0,7559.322033898305,0.01864857976376834,0.046
dyneema_sk78_8mm_12strand,50.0,7974.576271186441,0.01767750566776302,0.046
dyneema_sk78_8mm_12strand,50.0,8389.830508474577,0.016802558150053153,0.046
dyneema_sk78_8mm_12strand,50.0,8805.084745762711,0.016010136994197417,0.046
dyneema_sk78_8mm_12strand,50.0,9220.338983050848,0.015289092037794789,0.046
dyneema_sk78_8mm_12strand,50.0,9635.593220338982,0.01463019521446539,0.046
dyneema_sk78_8mm_12strand,50.0,10050.847457627118,0.014025743515964419,0.046
dyneema_sk78_8mm_12strand,50.0,10466.101694915254,0.013469256417117997,0.046
dyneema_sk78_8mm_12strand,50.0,10881.355932203389,0.012955242641276454,0.046
dyneema_sk78_8mm_12strand,50.0,11296.610169491525,0.01247901833690301,0.046
dyneema_sk78_8mm_12strand,50.0,11711.864406779661,0.012036563930292888,0.046
dyneema_sk78_8mm_12strand,50.0,12127.118644067796,0.01162441038763226,0.046
dyneema_sk78_8mm_12strand,50.0,12542.372881355932,0.01123954809506983,0.046
