site,panel_area_m2,battery_capacity_Wh,annual_grid_hours,annual_grid_kWh,annual_curtailed_kWh
SaoPaulo_BR,9.777777777777779,24000.0,2197.0,1881.6184037614555,0.0
SaoPaulo_BR,12.666666666666666,2000.0,1797.0,1340.8460316387586,273.44447902645163
SaoPaulo_BR,12.666666666666666,4444.444444444444,1455.0,1125.3201004575146,39.7731420870485
SaoPaulo_BR,12.666666666666666,6888.888888888889,1419.0,1103.7709889984894,15.659022923896
SaoPaulo_BR,12.666666666666666,9333.333333333332,1412.0,1099.333472775786,9.698176328080486
SaoPaulo_BR,12.666666666666666,11777.777777777777,1411.0,1098.1290377180674,7.245447315799156
SaoPaulo_BR,12.666666666666666,14222.222222222223,1409.0,1097.190371051401,5.081095463947297
SaoPaulo_BR,12.666666666666666,16666.666666666664,1409.0,1096.2517043847345,2.9167436120954493
SaoPaulo_BR,12.666666666666666,19111.11111111111,1407.0,1095.3130377180678,0.7523917602436083
SaoPaulo_BR,12.666666666666666,21555.555555555555,1405.0,1094.374371051401,0.0
SaoPaulo_BR,12.666666666666666,24000.0,1404.0,1093.4357043847344,0.0
SaoPaulo_BR,15.555555555555555,2000.0,1184.0,801.4551896753135,549.7729438839958
SaoPaulo_BR,15.555555555555555,4444.444444444444,869.0,624.1914469255014,356.28363968498087
SaoPaulo_BR,15.555555555555555,6888.888888888889,827.0,600.7299966005851,329.6805034817299
SaoPaulo_BR,15.555555555555555,9333.333333333332,822.0,598.5214661775204,326.1382612692029
SaoPaulo_BR,15.555555555555555,11777.777777777777,817.0,596.5267995108538,322.82807608401754
SaoPaulo_BR,15.555555555555555,14222.222222222223,813.0,594.5321328441873,319.51789089883226
SaoPaulo_BR,15.555555555555555,16666.666666666664,811.0,592.5374661775207,316.20770571364704
SaoPaulo_BR,15.555555555555555,19111.11111111111,804.0,590.542799510854,312.89752052846296
SaoPaulo_BR,15.555555555555555,21555.555555555555,800.0,588.5481328441873,309.587335343278
SaoPaulo_BR,15.555555555555555,24000.0,796.0,586.5534661775206,306.27715015809287
SaoPaulo_BR,18.444444444444443,2000.0,722.0,443.1305201457701,1011.9389641097567
SaoPaulo_BR,18.444444444444443,4444.444444444444,511.0,341.462355531689,900.4761118809358
SaoPaulo_BR,18.444444444444443,6888.888888888889,496.0,334.1685791729463,891.41602468612
SaoPaulo_BR,18.444444444444443,9333.333333333332,488.0,330.83384004428893,886.6517678190866
SaoPaulo_BR,18.444444444444443,11777.777777777777,486.0,328.8391733776224,883.3415826339011
SaoPaulo_BR,18.444444444444443,14222.222222222223,484.0,326.84450671095584,880.031397448716
SaoPaulo_BR,18.444444444444443,16666.666666666664,481.0,324.8498400442892,876.7212122635308
SaoPaulo_BR,18.444444444444443,19111.11111111111,478.0,322.8551733776225,873.4110270783474
SaoPaulo_BR,18.444444444444443,21555.555555555555,473.0,320.86050671095575,870.1008418931625
SaoPaulo_BR,18.444444444444443,24000.0,469.0,318.865840044289,866.7906567079772
SaoPaulo_BR,21.333333333333332,2000.0,407.0,234.17106272288578,1628.0634987402316
SaoPaulo_BR,21.333333333333332,4444.444444444444,285.0,174.84728210861817,1562.5472437334306
SaoPaulo_BR,21.333333333333332,6888.888888888889,276.0,170.05175569315912,1556.197931216657
SaoPaulo_BR,21.333333333333332,9333.333333333332,269.0,167.63306042151265,1552.4276455486365
SaoPaulo_BR,21.333333333333332,11777.777777777777,265.0,165.63839375484608,1549.117460363451
SaoPaulo_BR,21.333333333333332,14222.222222222223,261.0,163.64372708817947,1545.807275178266
SaoPaulo_BR,21.333333333333332,16666.666666666664,259.0,161.64906042151287,1542.4970899930809
SaoPaulo_BR,21.333333333333332,19111.11111111111,255.0,159.65439375484613,1539.1869048078981
SaoPaulo_BR,21.333333333333332,21555.555555555555,251.0,157.65972708817938,1535.8767196227132
SaoPaulo_BR,21.333333333333332,24000.0,248.0,155.6650604215127,1532.566534437528
SaoPaulo_BR,24.22222222222222,2000.0,231.0,115.43802653365795,2335.6907489249743
SaoPaulo_BR,24.22222222222222,4444.444444444444,118.0,63.84442535186086,2278.56227542042
SaoPaulo_BR,24.22222222222222,6888.888888888889,106.0,56.74287723472515,2269.7107692169316
SaoPaulo_BR,24.22222222222222,9333.333333333332,99.0,52.790646400059764,2264.2764909675097
SaoPaulo_BR,24.22222222222222,11777.777777777777,94.0,50.795979733393104,2260.9663057823245
SaoPaulo_BR,24.22222222222222,14222.222222222223,90.0,48.80131306672648,2257.6561205971393
SaoPaulo_BR,24.22222222222222,16666.666666666664,88.0,46.80664640005987,2254.345935411954
SaoPaulo_BR,24.22222222222222,19111.11111111111,83.0,44.81197973339321,2251.035750226772
SaoPaulo_BR,24.22222222222222,21555.555555555555,82.0,42.817313066726506,2247.725565041587
SaoPaulo_BR,24.22222222222222,24000.0,79.0,40.82264640005973,2244.4153798564016
SaoPaulo_BR,27.11111111111111,2000.0,126.0,55.15604565953772,3102.226251194026
SaoPaulo_BR,27.11111111111111,4444.444444444444,31.0,14.103719931856471,3056.5357935902052
SaoPaulo_BR,27.11111111111111,6888.888888888889,17.0,6.8095751795242885,3047.4753066627623
SaoPaulo_BR,27.11111111111111,9333.333333333332,10.0,3.657576863414722,3042.909336267676
SaoPaulo_BR,27.11111111111111,11777.777777777777,3.0,1.6629101967480469,3039.599151082491
SaoPaulo_BR,27.11111111111111,14222.222222222223,0.0,0.0,3036.6489447058107
SaoPaulo_BR,27.11111111111111,16666.666666666664,0.0,0.0,3035.503111372477
SaoPaulo_BR,27.11111111111111,19111.11111111111,0.0,0.0,3034.357278039148
SaoPaulo_BR,27.11111111111111,21555.555555555555,0.0,0.0,3033.2114447058148
SaoPaulo_BR,27.11111111111111,24000.0,0.0,0.0,3032.0656113724813
SaoPaulo_BR,30.0,2000.0,63.0,27.423737968574876,3900.685827769218
SaoPaulo_BR,30.0,4444.444444444444,5.0,2.0527515899610957,3872.010712341035
SaoPaulo_BR,30.0,6888.888888888889,0.0,0.0,3868.6375009804005
SaoPaulo_BR,30.0,9333.333333333332,0.0,0.0,3867.4916676470652
SaoPaulo_BR,30.0,11777.777777777777,0.0,0.0,3866.3458343137318
SaoPaulo_BR,30.0,14222.222222222223,0.0,0.0,3865.2000009803983
SaoPaulo_BR,30.0,16666.666666666664,0.0,0.0,3864.054167647065
SaoPaulo_BR,30.0,19111.11111111111,0.0,0.0,3862.908334313736
SaoPaulo_BR,30.0,21555.555555555555,0.0,0.0,3861.7625009804024
SaoPaulo_BR,30.0,24000.0,0.0,0.0,3860.616667647069
Palencia_ES,4.0,2000.0,3643.0,3495.704604951309,0.07899478049643613
Palencia_ES,4.0,4444.444444444444,3643.0,3494.693136694936,0.0
Palencia_ES,4.0,6888.888888888889,3642.0,3493.75447002827,0.0
