id,shape_class,area_ha,span_m,eta_x,eta_best,best_orientation_deg
field_038,irregular_concave,0.911,75.0,0.5467622020913734,0.5893223367955208,165.0
field_039,irregular_concave,0.3405,75.0,0.3622560138810091,0.444949146385839,75.0
field_040,irregular_concave,1.2228,75.0,0.5920761068082544,0.7072954526056988,120.0
field_041,irregular_concave,1.9288,75.0,0.5883853119072578,0.712991450997302,105.0
field_042,irregular_concave,0.8595,75.0,0.5004001362324825,0.5873997942145559,75.0
field_043,irregular_concave,0.2593,75.0,0.33741201050901615,0.4525226184130266,135.0
field_044,irregular_concave,2.889,75.0,0.7110694878194973,0.7328172150344159,15.0
field_045,irregular_concave,0.7397,75.0,0.4208093477358002,0.588739172559031,60.0
field_046,real_shape,1.2225,75.0,0.47941176470588237,0.8333292368194666,90.0
field_047,real_shape,1.76,75.0,0.7052823315118397,0.7111111111111109,90.0
field_048,real_shape,2.0,75.0,0.6719160104986877,0.7068273092369478,90.0
field_049,real_shape,1.1271,75.0,0.7043295853949384,0.7043295853949384,0.0
field_050,real_shape,2.1275,75.0,0.6558295973914734,0.8300477959083374,90.0
field_001,rectangle,0.5,100.0,1.0,1.0,0.0
field_002,rectangle,0.75,100.0,1.0,1.0,0.0
field_003,rectangle,1.0,100.0,1.0,1.0,0.0
field_004,rectangle,1.0,100.0,1.0,1.0,0.0
field_005,rectangle,0.9,100.0,0.75,0.75,0.0
field_006,rectangle,1.6,100.0,1.0,1.0,0.0
field_007,rectangle,2.0,100.0,1.0,1.0,0.0
field_008,rectangle,2.4,100.0,1.0,1.0,0.0
field_009,rectangle,3.0,100.0,1.0,1.0,0.0
field_010,rectangle,8.0,100.0,1.0,1.0,0.0
field_011,L_shape,0.91,100.0,0.91,0.91,0.0
field_012,L_shape,1.08,100.0,0.9,0.9,0.0
field_013,L_shape,1.6,100.0,0.64,0.6666666666666666,90.0
field_014,L_shape,0.7125,100.0,0.7125,0.890625,90.0
field_015,L_shape,2.7,100.0,0.7941176470588235,0.9,90.0
field_016,L_shape,1.25,100.0,0.8928571428571429,0.8928571428571429,0.0
field_017,L_shape,2.04,100.0,0.7285714285714285,0.7285714285714285,0.0
field_018,L_shape,1.64,100.0,0.5857142857142857,0.7454545454545455,90.0
field_019,L_shape,3.26,100.0,0.740909090909091,0.740909090909091,0.0
field_020,L_shape,4.04,100.0,0.808,0.808,0.0
field_021,irregular_convex,0.9746,100.0,0.44129326334652835,0.5497511330004266,105.0
field_022,irregular_convex,2.1776,100.0,0.6409543520352878,0.6677644911697225,150.0
field_023,irregular_convex,0.315,100.0,0.5150511143523722,0.5150511143523722,0.0
field_024,irregular_convex,0.6753,100.0,0.7228590741564621,0.7314252136074387,90.0
field_025,irregular_convex,1.157,100.0,0.487784350992596,0.6989620535703528,120.0
field_026,irregular_convex,1.7396,100.0,0.6061513425436214,0.6611939989059701,165.0
field_027,irregular_convex,0.6336,100.0,0.5663445558925149,0.587279579665152,165.0
field_028,irregular_convex,0.5982,100.0,0.4066530441715214,0.5665202245510704,165.0
field_029,irregular_convex,0.5324,100.0,0.6206388690982373,0.6409773004737224,165.0
field_030,irregular_convex,1.3311,100.0,0.5195872738361703,0.6556585655673282,135.0
field_031,irregular_concave,0.9475,100.0,0.4953619846987651,0.5475011264799147,15.0
field_032,irregular_concave,1.5483,100.0,0.5081138288417262,0.5960391052643789,120.0
field_033,irregular_concave,0.5072,100.0,0.5114863486148028,0.5415100755442946,15.0
field_034,irregular_concave,1.5839,100.0,0.5123391668266449,0.6375441780171903,75.0
field_035,irregular_concave,0.4182,100.0,0.5043789236297584,0.5574938929404903,150.0
field_036,irregular_concave,1.4087,100.0,0.3803290544808842,0.5719176592561663,75.0
field_037,irregular_concave,0.6243,100.0,0.43268466871368116,0.6810598986553468,150.0
field_038,irregular_concave,0.911,100.0,0.40330837962516697,0.5459230935566771,165.0
field_039,irregular_concave,0.3405,100.0,0.2862960965891328,0.40099214620690043,60.0
field_040,irregular_concave,1.2228,100.0,0.5239176166948278,0.574838368779617,120.0
field_041,irregular_concave,1.9288,100.0,0.6357346818361409,0.6453317022241022,15.0
field_042,irregular_concave,0.8595,100.0,0.5597757926112075,0.6548730839414035,165.0
field_043,irregular_concave,0.2593,100.0,0.29629092295688686,0.36900570846093367,165.0
field_044,irregular_concave,2.889,100.0,0.7485839998428272,0.7765067140335337,15.0
field_045,irregular_concave,0.7397,100.0,0.37537919113749846,0.4945612057620694,60.0
field_046,real_shape,1.2225,100.0,0.35955882352941176,0.7769019248395967,90.0
field_047,real_shape,1.76,100.0,0.5438202247191012,0.7999999999999998,90.0
field_048,real_shape,2.0,100.0,0.6,0.7284768211920529,90.0
field_049,real_shape,1.1271,100.0,0.6055087918431756,0.6055087918431756,0.0
field_050,real_shape,2.1275,100.0,0.5391225464992898,0.6858105069417416,90.0
