output,parameter,S1,S1_conf,ST,ST_conf
payback_months_vs_fuel,wind_power_W,0.00252527442184901,0.007607829202127012,0.007333945859246566,0.007181162687080415
payback_months_vs_fuel,wind_hours_per_day,-0.0001489254697793196,0.005565066044333916,0.0017307261373272437,0.0006670486647158114
payback_months_vs_fuel,setup_time_s,0.0,0.0,0.0,0.0
payback_months_vs_fuel,operation_time_ratio,0.0,0.0,0.0,0.0
payback_months_vs_fuel,battery_Wh,0.0,0.0,0.0,0.0
payback_months_vs_fuel,operating_hours_per_day,0.0,0.0,0.0,0.0
payback_months_vs_fuel,operating_days_per_year,0.03494132293575316,0.04683537462985124,0.08470758676026763,0.03817625021801177
payback_months_vs_fuel,fuel_l_per_decare,0.1925354403259728,0.1258926836827475,0.25534290344409905,0.07130079815392953
payback_months_vs_fuel,fuel_price_usd_per_l,0.04752450724755383,0.05655478849552586,0.06458749234063509,0.026254526510957478
payback_months_vs_fuel,cost_cabletract_usd,0.1016778852578875,0.06874482998316206,0.142853076924802,0.052337468716630135
payback_months_vs_fuel,shape_efficiency,0.04262927954480891,0.042284061463053246,0.09399720844849714,0.03471133362651504
energy_per_decare_Wh,span_m,-0.0005775583602797147,0.003874333187115112,0.0005792711840734906,0.00015317093965773338
energy_per_decare_Wh,width_m,0.2728976350049153,0.10399329041463631,0.28383883059311626,0.051302592561235066
energy_per_decare_Wh,implement_weight_N,0.05587405427503331,0.045618272401874216,0.06761643189284298,0.019745842597960476
energy_per_decare_Wh,draft_load_N,0.2449854839113802,0.07679850891401319,0.2711126547478643,0.06882675475064583
energy_per_decare_Wh,system_weight_N,-0.00022941251776148767,0.0028868952092202787,0.00023697978793733632,7.312764295314645e-05
energy_per_decare_Wh,winch_efficiency,0.18834496706289786,0.08533530815491294,0.23450644902481932,0.05938603947368797
energy_per_decare_Wh,solar_power_W_m2,0.0,0.0,0.0,0.0
energy_per_decare_Wh,solar_area_m2,0.0,0.0,0.0,0.0
energy_per_decare_Wh,solar_hours_per_day,0.0,0.0,0.0,0.0
energy_per_decare_Wh,wind_power_W,0.0,0.0,0.0,0.0
energy_per_decare_Wh,wind_hours_per_day,0.0,0.0,0.0,0.0
energy_per_decare_Wh,setup_time_s,0.0,0.0,0.0,0.0
energy_per_decare_Wh,operation_time_ratio,0.0,0.0,0.0,0.0
energy_per_decare_Wh,battery_Wh,0.0,0.0,0.0,0.0
energy_per_decare_Wh,operating_hours_per_day,0.0,0.0,0.0,0.0
energy_per_decare_Wh,operating_days_per_year,0.0,0.0,0.0,0.0
energy_per_decare_Wh,fuel_l_per_decare,0.0,0.0,0.0,0.0
energy_per_decare_Wh,fuel_price_usd_per_l,0.0,0.0,0.0,0.0
energy_per_decare_Wh,cost_cabletract_usd,0.0,0.0,0.0,0.0
energy_per_decare_Wh,shape_efficiency,0.2218278184879642,0.06837852782363171,0.21201772853879955,0.051890704988524265
surplus_power_W,span_m,0.09795621101838226,0.165560053528164,0.7415746737550742,0.4105994897786405
surplus_power_W,width_m,-1.47065314293188e-18,5.704885826147062e-18,1.3497291370201304e-32,9.80265679813231e-33
surplus_power_W,implement_weight_N,-0.017326355003753048,0.033326383847916204,0.39151596282085416,0.3499266555460994
surplus_power_W,draft_load_N,-0.007922190392914585,0.02609964829207604,0.3114966362646531,0.18464895365984205
surplus_power_W,system_weight_N,0.005511248163926605,0.010599478556821794,0.04391070121895966,0.09171583860458599
surplus_power_W,winch_efficiency,-0.02592973798680766,0.030239551172101815,0.2766995906627306,0.2454303585656923
surplus_power_W,solar_power_W_m2,0.013469852661700239,0.026192601613503733,0.3285096938277608,0.2206543947319182
surplus_power_W,solar_area_m2,-0.004715533146105727,0.03514088963412778,0.6244638759527843,0.33497356280158264
surplus_power_W,solar_hours_per_day,-0.016398827252223278,0.03453914723295925,0.4446462206004319,0.31859858624061943
surplus_power_W,wind_power_W,-0.003155697913632009,0.005741404906522891,0.01643790341921535,0.03004885966687142
surplus_power_W,wind_hours_per_day,0.0030746014891043743,0.005914536422840921,0.020123744041300906,0.03374854510386316
surplus_power_W,setup_time_s,-0.008985624369980884,0.05362590168240728,0.7816852721687665,0.40364147551200996
surplus_power_W,operation_time_ratio,2.943862084827669e-06,6.39849597082679e-06,1.3061793351512597e-08,1.5212329434765908e-08
surplus_power_W,battery_Wh,0.0,0.0,0.0,0.0
surplus_power_W,operating_hours_per_day,-0.011293458737811882,0.02532380052464135,0.33960599438991557,0.23962840345665046
surplus_power_W,operating_days_per_year,0.0,0.0,0.0,0.0
surplus_power_W,fuel_l_per_decare,0.0,0.0,0.0,0.0
surplus_power_W,fuel_price_usd_per_l,0.0,0.0,0.0,0.0
surplus_power_W,cost_cabletract_usd,0.0,0.0,0.0,0.0
surplus_power_W,shape_efficiency,-5.8455913469058576e-18,4.6510062212929116e-18,9.888149111534512e-33,7.76706579201937e-33
